name,model,type,price,year,distance,drive,transmission,engine,color,city,owners,isActive
Nissan,X-Trail,Позашляховик / Кросовер,2000,2006,270.0,Передній,Автомат,Газ / Бензин,Білий,Дніпро (Дніпропетровськ),,true
Nissan,Almera,Хетчбек,2000,1996,350.0,Передній,Ручна / Механіка,1.4 л (87 к.с. / 64 кВт);Бензин,Червоний металік,Івано-Франківськ,,true
Nissan,Sunny,Седан,2000,1991,350.0,Передній,Ручна / Механіка,1.4 л (75 к.с. / 55 кВт);Бензин,Сірий металік,Одеса,2,true
Nissan,Primera,Седан,2000,1992,270.0,Передній,Ручна / Механіка,1.6 л (90 к.с. / 66 кВт);Бензин,Червоний,Рені,3,true
Nissan,Almera,Седан,2000,1996,322.0,Передній,Ручна / Механіка,1.4 л (75 к.с. / 55 кВт);Бензин,Зелений,Чорноморськ (Іллічівськ),2,true
Nissan,Bluebird,Седан,2000,1987,250.0,,Ручна / Механіка,2 л;Дизель,Білий,Харків,3,true
Nissan,Primera,Седан,2000,1991,300.0,Передній,Ручна / Механіка,2 л;Бензин,Бежевий,Ніжин,2,true
Nissan,Primera,Седан,2000,1992,400.0,Передній,,1.6 л;Бензин,Бежевий,Ізмаїл,2,true
Nissan,Bluebird,Седан,2000,1990,142.0,Передній,Ручна / Механіка,2 л;Газ / Бензин,Сірий,Вінниця,1,true
Nissan,Sunny,Унiверсал,2000,1993,250.0,Передній,Ручна / Механіка,2 л;Дизель,Червоний,Сарни,,true
Nissan,Maxima,Седан,2000,1995,534.0,Передній,Ручна / Механіка,2 л (153 к.с. / 113 кВт);Газ / Бензин,Зелений металік,Глухів,2,true
Nissan,Bluebird,Хетчбек,2000,1990,395.0,Передній,,2 л (2720 к.с. / 2001 кВт);Газ / Бензин,Червоний,Знам'янка,3,true
Nissan,Micra,Хетчбек,2000,1994,318.0,Передній,Ручна / Механіка,1.3 л;Газ / Бензин,Сірий,Київ,3,true
Nissan,Vanette пасс.,Мінівен,2000,1981,237.0,Задній,Ручна / Механіка,1.5 л;Бензин,Жовтий,Одеса,,true
Nissan,Maxima,Седан,2000,1990,200.0,,,3 л;Газ / Бензин,Синій,Запоріжжя,1,false
Nissan,Bluebird,Унiверсал,2000,1988,400.0,Передній,Ручна / Механіка,(1940 к.с. / 1427 кВт);Дизель,Сірий металік,Ізмаїл,,false
Nissan,Primera,Седан,2053,1991,244.0,Передній,Ручна / Механіка,1.4 л;Бензин,Сірий,Бердичів,,true
Nissan,Bluebird,Седан,2100,1988,420.0,Передній,Ручна / Механіка,2 л;Дизель,Білий,Чорноморськ (Іллічівськ),1,true
Nissan,Maxima,Седан,2100,1996,250.0,,Ручна / Механіка,3 л;Газ / Бензин,Чорний,Одеса,3,true
Nissan,Almera,Седан,2100,1999,221.0,Передній,Ручна / Механіка,1.6 л (100 к.с. / 74 кВт);Газ / Бензин,Зелений,Кривий Ріг,3,true
Nissan,Sunny,Хетчбек,2100,1995,377.0,Передній,Ручна / Механіка,1.4 л;Бензин,,Чернівці,,true
Nissan,Sunny,Хетчбек,2100,1994,200.0,,,1.4 л;Бензин,Сірий,Дубно,,true
Nissan,Bluebird,Хетчбек,2100,1987,450.0,Передній,Ручна / Механіка,,Червоний,Первомайськ,,true
Nissan,Prairie,Мінівен,2100,1994,240.0,Передній,Ручна / Механіка,2.4 л;Газ / Бензин,Сірий,Суми,3,true
Nissan,Micra,Хетчбек,2100,1998,203.0,Передній,Ручна / Механіка,1 л;Бензин,Жовтий металік,Одеса,1,true
Nissan,Urvan,"Легковий фургон (до 1,5т)",2100,1989,350.0,Задній,Ручна / Механіка,(80 к.с. / 59 кВт);Дизель,Білий,Житомир,,true
Nissan,Sunny,Хетчбек,2100,1992,344.0,Передній,Ручна / Механіка,(1.4 к.с. / 1 кВт);Газ / Бензин,Сірий металік,Івано-Франківськ,,true
Nissan,Bluebird,Хетчбек,2100,1990,100.0,,,1.6 л;Газ / Бензин,Чорний,Кам'янське (Дніпродзержинськ),4,true
Nissan,Primera,Седан,2100,1993,200.0,,,2 л;Дизель,Зелений,Рівне,,true
Nissan,Primera,Хетчбек,2100,1993,20.0,Передній,Ручна / Механіка,1.6 л;Газ / Бензин,Сірий,Охтирка,,true
Nissan,Vanette груз.,"Легковий фургон (до 1,5т)",2150,1995,400.0,Передній,,2.3 л (3.128 к.с. / 2 кВт);Дизель,Синій металік,Хуст,1,true
Nissan,Micra,Хетчбек,2190,1994,172.0,Передній,Ручна / Механіка,1 л (1 к.с. / 1 кВт);Бензин,Зелений металік,Яремче,,true
