name,model,type,price,year,distance,drive,transmission,engine,color,city,owners,isActive
Lexus,IS 250,Седан,8000,2007,220.0,Повний,Автомат,2.5 л;Бензин,Чорний,Київ,2,true
Lexus,RX 300,Позашляховик / Кросовер,8000,2000,179.0,Повний,Автомат,3 л;Газ / Бензин,Сірий,Миколаїв,4,true
Lexus,LS 460,Седан,8000,2007,250.0,,Автомат,4.6 л;Бензин,Чорний,Умань,4,true
Lexus,GS 300,Седан,8000,2005,350.0,Задній,Автомат,3 л (481 к.с. / 353.6 кВт);Бензин,Сірий металік,Буча,1,true
Lexus,IS 220,Седан,8100,2006,250.0,,Ручна / Механіка,2.2 л;Дизель,Сірий металік,Одеса,2,true
Lexus,ES 330,Седан,8100,2003,233.0,Передній,Автомат,3.3 л (228 к.с. / 168 кВт);Газ / Бензин,Сірий металік,Одеса,2,true
Lexus,ES 300,Седан,8200,2002,187.0,,Автомат,3 л;Газ / Бензин,Сірий,Кропивницький (Кіровоград),2,true
Lexus,RX 300,Позашляховик / Кросовер,8300,2002,298.0,Повний,Автомат,3 л;Газ / Бензин,Бежевий металік,Київ,3,true
Lexus,LS 430,Седан,8400,2003,240.0,Задній,,4.3 л;Газ / Бензин,Сірий,Київ,5,true
Lexus,RX 300,Позашляховик / Кросовер,8500,2002,246.0,Повний,Автомат,3 л;Газ / Бензин,Чорний,Бобринець,8,true
Lexus,RX 300,Позашляховик / Кросовер,8500,1999,275.0,,Автомат,3 л;Газ / Бензин,Чорний металік,Одеса,1,true
Lexus,RX 300,Позашляховик / Кросовер,8500,2003,300.0,Повний,,3 л;Газ / Бензин,Сірий,Чернівці,1,true
Lexus,IS 220,Седан,8500,2006,231.0,Задній,Ручна / Механіка,2.2 л (177 к.с. / 130 кВт);Дизель,Синій металік,Чернігів,4,true
Lexus,RX 300,Позашляховик / Кросовер,8500,2003,280.0,Повний,Автомат,3 л;Газ / Бензин,Сірий,Нова Ушиця,,true
Lexus,RX 300,Позашляховик / Кросовер,8500,2002,164.0,,Автомат,3 л;Газ / Бензин,Сірий металік,Полтава,3,true
Lexus,GS 300,Седан,8500,2006,230.0,Задній,Автомат,3 л;Бензин,Сірий,Мостиська,7,false
Lexus,ES 300,Седан,8600,2005,250.0,Передній,Автомат,3 л;Газ / Бензин,Сірий металік,Коломия,7,true
Lexus,GS 300,Седан,8700,2001,278.0,Задній,Автомат,3 л (230 к.с. / 169 кВт);Бензин,Чорний,Одеса,,false
Lexus,RX 300,Позашляховик / Кросовер,8750,2001,293.0,Повний,Автомат,3 л (224 к.с. / 165 кВт);Газ / Бензин,Синій металік,Львів,,true
Lexus,GS 350,Седан,8800,2007,213.0,Повний,Автомат,3.5 л (318 к.с. / 234 кВт);Бензин,Чорний,Одеса,4,true
Lexus,ES 300,Седан,8900,2004,225.0,Передній,Автомат,Бензин,Сірий,Запоріжжя,1,true
Lexus,IS 250,Седан,8900,2006,147.0,Задній,Ручна / Механіка,2.5 л;Бензин,Чорний,Добропілля,,true
Lexus,RX 300,Позашляховик / Кросовер,8900,2004,240.0,Повний,Автомат,3 л;Бензин,Сірий металік,Дніпро (Дніпропетровськ),2,true
Lexus,ES 350,Седан,8900,2006,229.0,Передній,Автомат,Бензин,Чорний,Львів,1,true
Lexus,ES 350,Седан,8999,2006,203.0,Передній,Автомат,3.5 л;Газ / Бензин,Чорний металік,Одеса,8,true
